narration,category
NEFT/400954964211/HIMALAYA DRUG,Personal Care
AUTO DEBIT NEFT CHARGES,Bank Charges
UPI/LINKEDIN PREMIUM/580711387943,Subscriptions
NEFT-BHARAT PETROLEUM-12799301,Fuel
RTGS/478172522943/UBER,Transport
NEFT-ICICI LOMBARD-11228314,Insurance
POS/706422/LOOKS SALON,Personal Care
IMPS/090762635657/GREEN TRENDS,Personal Care
BILLDESK-RAPIDO-554023,Transport
NSDL TIN 49645814,Tax
RTGS/617829714474/SAVINGS ACCOUNT INTEREST,Interest Income
NEFT/319261515337/NEFT CHARGES,Bank Charges
ACH-EMI-TWO WHEELER LOAN-91110287,Loan EMI
POS 268768 NATURALS SALON,Personal Care
IMPS/268532693588/RTGS TRANSFER,Transfer
AUTO DEBIT NARAYANA HEALTH,Health
NACH-HERITAGE FRESH-82583831,Groceries
ACH DR YOUTUBE PREMIUM,Entertainment
RTGS SALARY CREDIT PAYROLL CREDIT,Income
MANDATE-SMALLCASE,Investment
UPI/SELF/74855484,Transfer
IMPS-RAYMOND-24176102,Shopping
BILLDESK-DELHI METRO RAIL-431938,Transport
MANDATE-NEFT CHARGES,Bank Charges
ACH DR SPOTIFY,Entertainment
UPI/DR/581787410144/QUICKRIDE,Transport
UPI/SPAR HYPERMARKET,Groceries
IMPS/078480489693/MXPLAYER,Entertainment
UPI PAYMENT LINKEDIN PREMIUM,Subscriptions
POS PURCHASE REDBUS,Travel
BILLDESK-UDEMY-364583,Education
NEFT-UPSTOX-26684452,Investment
NEFT-CRED PAY TRANSFER-03532274,Transfer
POS PURCHASE IMPS CHARGES,Bank Charges
ACH DR ZEPTO,Groceries
POS 979980 AIR INDIA,Travel
NEFT/388158690795/CHAAYOS,Food & Dining
BILLDESK-PUMA-520338,Shopping
EMI DEBIT FULLERTON INDIA EMI,Loan EMI
POS/909080/SMS ALERT CHARGES,Bank Charges
UPI-P2A-568688640100-SMS ALERT CHARGES,Bank Charges
SLACK PRO SUBSCRIPTION,Subscriptions
UPI/INCOME TAX REFUND/751665168359,Tax
UPI/DR/491201046536/BIOTIQUE,Personal Care
NACH-ANGEL ONE-96231429,Investment
UPI-P2A-935795607473-RELIANCE PETROL,Fuel
NEFT-EXCITEL-48218084,Utilities
POS PURCHASE DEBIT CARD ANNUAL FEE,Bank Charges
RTGS/815411160562/NESTAWAY,Rent
NEFT/507141974404/BIKANERVALA,Food & Dining
BILLDESK-RTGS TRANSFER-470016,Transfer
UPI/MAGICBRICKS,Rent
POS/632381/BWSSB,Utilities
NACH-PHILIPS-03833724,Electronics
UPI-P2A-266492109355-VISHAL MEGA MART,Groceries
BILLDESK-NETMEDS-705612,Health
ECS-BBMP PROPERTY TAX,Tax
IMPS/201253193819/BOUNCE CHARGES,Bank Charges
UPI PAYMENT INOX LEISURE,Entertainment
MANDATE-METRO CASH AND CARRY,Groceries
BILLDESK-AXIS BANK FD INTEREST-940015,Interest Income
ACH DR MCAFFEINE,Personal Care
AUTO DEBIT MSEDCL,Utilities
UPI/OUT/299819492487/netflix@okaxis/Payment,Entertainment
UPI/BAJAJ ALLIANZ LIFE/869670476040,Insurance
IMPS/614498251982/SWIGGY,Food & Dining
ECS-AMAZON PRIME VIDEO,Entertainment
MANDATE-BOUNCE,Transport
IMPS/901559633010/APARTMENT MAINTENANCE,Rent
NEFT-GUJARAT GAS-42957187,Utilities
NEFT/159708450561/CASTROL,Fuel
UPI/FOREST ESSENTIALS/785052863069,Personal Care
NEFT/126961212830/HCL TECHNOLOGIES,Income
ACH DR HDFC ERGO,Insurance
IMPS/633681579926/PROFESSIONAL TAX,Tax
IMPS/186963885172/IMPS CHARGES,Bank Charges
NEFT-ATM ICICI-21153921,Cash Withdrawal
IMPS-MICROSOFT INDIA-54799311,Income
IMPS-MAMAEARTH-53099906,Personal Care
AUTO DEBIT INDRAPRASTHA GAS,Utilities
UPI PAYMENT SWIGGY,Food & Dining
MANDATE-NATURALS SALON,Personal Care
IMPS/158320841508/PPFAS MF,Investment
ACH DR UBER,Transport
NEFT-SRL DIAGNOSTICS-99662952,Health
IMPS/872337388362/RTGS CHARGES,Bank Charges
NEFT/594710009644/SPEED FUELS,Fuel
NEFT/102088846378/JIO BP,Fuel
NEFT/337216745612/SUGAR COSMETICS,Personal Care
NEFT-TSRTC-92488451,Transport
UPI/TOMMY HILFIGER/910616918685,Shopping
SIP DEBIT SCRIPBOX,Investment
POS/570816/SALARY CREDIT,Income
POS 939082 ACCENTURE INDIA,Income
UPI/DR/890137887615/ATM AXIS,Cash Withdrawal
BILLDESK-MEESHO-757442,Shopping
NEFT/SELF/98964170,Transfer
AUTO DEBIT FISDOM,Investment
UPI-P2A-489324232976-UNION BANK INTEREST,Interest Income
AUTO DEBIT DREAM11,Entertainment
UPI/CINEPOLIS,Entertainment
NEFT/645384280392/HATHWAY,Utilities
NEFT-NESTAWAY-60649739,Rent
INCOME TAX 7534678980,Tax
POS PURCHASE SIMPL EMI,Loan EMI
RTGS/831566486502/ADIDAS,Shopping
UPI/JIO BROADBAND/513916498533,Utilities
POS/370916/GREAT LEARNING,Education
NEFT/229519018456/ECS BOUNCE,Bank Charges
POS PURCHASE TECH MAHINDRA,Income
UPI/SOTC TRAVEL,Travel
IMPS/617432343582/LANDLORD UPI RENT,Rent
UPI PAYMENT CASH WITHDRAWAL BRANCH,Cash Withdrawal
UPI/OUT/642086099397/lockerre@apl/Payment,Bank Charges
UPI/TATA CAPITAL EMI/604236971209,Loan EMI
RTGS/575965976254/ZINGBUS,Travel
POS 779456 BLACKBERRYS,Shopping
POS 472686 MAHARASHTRA PT,Tax
UPI/OUT/953526069017/vishalme@apl/Payment,Groceries
NACH-HP PETROL PUMP-84969624,Fuel
POS/734767/AIR INDIA,Travel
UPI/DISNEY HOTSTAR PREMIUM/905879326720,Subscriptions
BILLDESK-PUMA-520338,Shopping
IMPS-DISH TV-58142266,Utilities
POS PURCHASE IMPS CHARGES,Bank Charges
POS/522306/POST OFFICE INTEREST,Interest Income
UPI-P2A-411030794418-NETMEDS,Health
ECS-FIRSTCRY,Shopping
POS PURCHASE QUICKRIDE,Transport
NACH-IMPS CHARGES-45628630,Bank Charges
POS/846311/RAPIDO BIKE,Transport
RENT TRANSFER NESTAWAY,Rent
IMPS/806287553873/FAMILY TRANSFER,Transfer
POS/892767/STEAM INDIA,Entertainment
UPI PAYMENT ZOLO STAYS,Rent
IMPS-OPPO-68601074,Electronics
ATM-NFS CASH WITHDRAWAL,Cash Withdrawal
NACH-NEW INDIA ASSURANCE-80892332,Insurance
POS/846645/ACCENTURE INDIA,Income
NEFT-NAYARA ENERGY-47600035,Fuel
UPI/OUT/738206773883/consulti@apl/Payment,Income
UPI/RAPIDO,Transport
RTGS/691251577001/CARNIVAL CINEMAS,Entertainment
POS 617129 BANGALORE METRO RAIL,Transport
RTGS/985446084536/OYO LIFE,Rent
POS/366116/MOBIKWIK TRANSFER,Transfer
POS/846311/RAPIDO BIKE,Transport
BILLDESK-MOTILAL OSWAL MF-289973,Investment
UPI PAYMENT ACCENTURE INDIA,Income
POS PURCHASE CASTROL,Fuel
UPI/AKASA AIR/060283180483,Travel
UPI-P2A-451117001129-HDFC BANK,Income
NSDL TIN 34310244,Tax
RTGS/402285468621/REALME,Electronics
ACH DR CHEQUE BOOK CHARGES,Bank Charges
IMPS-BAJAJ FINSERV EMI-22408611,Loan EMI
MANDATE-PPFAS MF,Investment
UPI/OUT/899702427784/motimaha@oksbi/Payment,Food & Dining
UPI PAYMENT ZOLO STAYS,Rent
NEFT/795288735097/STANZALIVING,Rent
UPI-DR-705793357561-OYO ROOMS,Travel
UPI/GAANA,Entertainment
POS PURCHASE GOOGLE INDIA,Income
AUTO DEBIT DU FEES PAYMENT,Education
UPI/SPENCERS RETAIL/818718640764,Groceries
POS PURCHASE FLIPKART GROCERY,Groceries
NEFT/851825697271/AKASA AIR,Travel
CASH WITHDRAWAL 15789198,Cash Withdrawal
MUTUAL FUND SCRIPBOX,Investment
UPI-DR-035044695125-BBMP PROPERTY TAX,Tax
NEFT/458058812849/SBI HOME LOAN EMI,Loan EMI
UPI PAYMENT LAKME SALON,Personal Care
POS PURCHASE OYO LIFE,Rent
POS PURCHASE LENOVO,Electronics
UPI/RD INTEREST CREDIT,Interest Income
POS PURCHASE JIO BROADBAND,Utilities
IMPS/936937607538/YULU BIKES,Transport
IMPS/013278667262/HDFC BANK,Income
ACH DR KARNATAKA PT,Tax
POS PURCHASE ATM ICICI,Cash Withdrawal
AUTO DEBIT UNITED INDIA INSURANCE,Insurance
POS PURCHASE OLA CABS,Transport
RTGS/115242520708/EDUREKA,Education
UPI PAYMENT HDFC LIFE,Insurance
RTGS/879896356914/ZOLO STAYS,Rent
UPI-P2A-757711526064-BOAT LIFESTYLE,Electronics
BILLDESK-CESC-782143,Utilities
UPI/MINIMUM BALANCE CHARGE,Bank Charges
UPI/OUT/737441248449/landlord@okicici/Payment,Rent
UPI/NSDL TIN PAYMENT,Tax
BILLDESK-KSRTC-941034,Transport
POS/146693/FIITJEE,Education
MANDATE-JIOCINEMA,Entertainment
IMPS-HYDERABAD METRO-79612948,Transport
RTGS/560910562619/NETFLIX INDIA,Subscriptions
UPI/OUT/942180790527/pantaloo@kotak/Payment,Shopping
NEFT/861064642228/PNB FD INTEREST,Interest Income
POS 469809 GOLD LOAN EMI,Loan EMI
NEFT/043970405879/BARISTA,Food & Dining
UPI/OUT/034660498803/fitransf@oksbi/Payment,Transfer
POS 320474 CAPGEMINI,Income
IMPS-PHONEPE TRANSFER-67499025,Transfer
ECS-RELIANCE INDUSTRIES,Income
UPI/DR/700232469781/CARE HEALTH,Insurance
NEFT SALARY CREDIT AMAZON INDIA,Income
BILLDESK-OLA CABS-126656,Transport
BILLDESK-ICICI BANK EMI-285950,Loan EMI
POS PURCHASE PNB METLIFE,Insurance
NEFT/032868086239/ROLLS MANIA,Food & Dining
IMPS/221348797978/CAR LOAN EMI,Loan EMI
NACH-LOTUS HERBALS-07245712,Personal Care
AUTO DEBIT PARADISE BIRYANI,Food & Dining
UPI/DELHI METRO RAIL,Transport
NEFT/652564657533/HOUSR,Rent
UPI/DR/987191667470/MCGM PROPERTY TAX,Tax
ACH DR IOCL OUTLET,Fuel
POS 399240 DEBIT CARD ANNUAL FEE,Bank Charges
POS/155897/CHALO BUS,Transport
NEFT-CASH WITHDRAWAL BRANCH-49525731,Cash Withdrawal
UPI-P2A-924462998985-GUJARAT GAS,Utilities
POS PURCHASE CONSULTING FEES,Income
ECS-AMAZON PAY TRANSFER,Transfer
NEFT-PAYTM WALLET-55736339,Transfer
UPI PAYMENT TATA NEU PLUS,Subscriptions
NACH-AMAZON-57223005,Shopping
ECS-NETMEDS,Health
POLICY PREMIUM PNB METLIFE,Insurance
POS/939959/JIO BROADBAND,Utilities
RTGS/150549888758/ATM ICICI,Cash Withdrawal
ACH DR LOOKS SALON,Personal Care
NACH-SRM UNIVERSITY-57430142,Education
NEFT/272537023392/UNACADEMY,Education
AUTO DEBIT GULF OIL,Fuel
NACH-HDFC ERGO-61848236,Insurance
UPI-DR-556812497454-RELIANCE DIGITAL,Shopping
SALARY CREDIT BONUS CREDIT,Income
UPI/VAN HEUSEN/426765733161,Shopping
NEFT-HOTELS.COM-69444198,Travel
NACH-EASYDAY-84475934,Groceries
POS/424482/CHEQUE BOOK CHARGES,Bank Charges
NEFT-CLEARTRIP-31432308,Travel
IMPS/817505091688/TECH MAHINDRA,Income
POS PURCHASE SONY,Electronics
UPI-P2A-685888061374-ECS BOUNCE,Bank Charges
UPI-DR-846382710769-MEDANTA,Health
NACH-KSEB-14618001,Utilities
UPI/HDFC BANK/712016198632,Income
POS PURCHASE IBM INDIA,Income
NEFT/937001985852/FORTIS HEALTHCARE,Health
ACH DR VIJAY SALES,Electronics
ACH DR FABHOTELS,Travel
AUTO DEBIT GOLD GYM,Health
UPI/OUT/083046399341/youtubep@apl/Payment,Entertainment
UPI-DR-896400677362-CASH WITHDRAWAL BRANCH,Cash Withdrawal
ECS-ICICI BANK SAVINGS INTEREST,Interest Income
MANDATE-SRI CHAITANYA,Education
NACH-SARAVANA BHAVAN-56430865,Food & Dining
BILLDESK-ICICI BANK SAVINGS INTEREST-825165,Interest Income
NACH-TACO BELL-67989084,Food & Dining
ECS-BOOKING.COM,Travel
IMPS-BBMP PROPERTY TAX-39315104,Tax
LI PREMIUM NATIONAL INSURANCE,Insurance
POS/612968/PUMA,Shopping
NEFT-CONSULTING FEES-63377500,Income
NEFT-GULF OIL-50335538,Fuel
UPI/MAHARASHTRA PT,Tax
POS/251875/ANYTIME FITNESS,Health
POS 492673 GO FIRST,Travel
UPI/DR/607173148586/SMALLCASE,Investment
NACH-CRED PAY TRANSFER-89260549,Transfer
BILLDESK-EDUREKA-689634,Education
NEFT-BEST BUSES-08962106,Transport
MANDATE-RELIANCE SMART,Groceries
POS/011063/IMPS TRANSFER,Transfer
RTGS/559423582357/HCL TECHNOLOGIES,Income
HATHWAY BILL 434829,Utilities
POS/560693/TSRTC,Transport
MANDATE-APOLLO PHARMACY,Health
UPI/OUT/188296085948/mphasis@apl/Payment,Income
UPI/OUT/314444815525/biba@kotak/Payment,Shopping
UPI-P2A-305066550746-NOISE,Electronics
NACH-FABHOTELS-34947306,Travel
NEFT-ANYTIME FITNESS-59754019,Health
RTGS/102089631450/MARKS AND SPENCER,Shopping
POS 438622 ONEPLUS,Electronics
UPI/DISH TV/488417575817,Utilities
UPI PAYMENT LEVI STRAUSS,Shopping
IMPS/846859497136/LAKME SALON,Personal Care
ECS-VEHICLE TAX,Tax
MANDATE-PURPLLE,Personal Care
RTGS/115242520708/EDUREKA,Education
ECS-WYNK MUSIC,Entertainment
MANDATE-BLUSMART,Transport
UPI PAYMENT NESTAWAY,Rent
UPI/JUPITER TRANSFER,Transfer
AUTO DEBIT BSNL BROADBAND,Utilities
UPI/MPHASIS,Income
NEFT-ACCOUNT TRANSFER-96451567,Transfer
MANDATE-UNIQLO,Shopping
UPI-DR-148179485600-RELIANCE PETROL,Fuel
IMPS-FIITJEE-06615099,Education
BILLDESK-VISTARA-218851,Travel
UPI/OUT/133149387301/kayaskin@ibl/Payment,Personal Care
AUTO DEBIT PVR CINEMAS,Entertainment
NEFT-SOCIETY MAINTENANCE-73934651,Rent
UPI/OUT/609398637207/atmsbi@axl/Payment,Cash Withdrawal
AUTO DEBIT INCOME TAX PAYMENT,Tax
NACH-ICLOUD STORAGE-41340378,Subscriptions
POS PURCHASE VLCC,Personal Care
POS PURCHASE SELF TRANSFER,Transfer
UPI PAYMENT MAHARASHTRA PT,Tax
NEFT/404672801456/AIRTEL DTH,Utilities
MANDATE-KUVERA,Investment
NEFT-BSES YAMUNA-41532700,Utilities
RTGS/562142977458/ZARA,Shopping
MANDATE-ANYTIME FITNESS,Health
UPI/DR/883659322254/STANZALIVING,Rent
IMPS-NAYARA ENERGY-34552085,Fuel
UPI/MAHARASHTRA PT/036769286311,Tax
UPI/PAYTM MONEY,Investment
IMPS/749784023872/KSRTC,Transport
NEFT/328088188674/ICICI BANK SAVINGS INTEREST,Interest Income
NACH-ATM PNB-96972193,Cash Withdrawal
UPI-DR-126799771159-MANIPAL HOSPITALS,Health
ECS-UDEMY BUSINESS,Subscriptions
AUTO DEBIT INDUSIND BANK EMI,Loan EMI
POS PURCHASE IMPS CHARGES,Bank Charges
ECS-DR LAL PATH LABS,Health
UPI/ADVANCE TAX,Tax
ACH DR LOCKER RENT CHARGES,Bank Charges
BILLDESK-AMAZON PRIME VIDEO-541098,Entertainment
BILLDESK-ANGEL ONE-073312,Investment
POS/453333/SAMSUNG INDIA,Electronics
RTGS/651575111057/AIRBNB INDIA,Travel
ACH DR TREEBO,Travel
MANDATE-INDIGO AIRLINES,Travel
NEFT/161318367632/ONEPLUS,Electronics
UPI/ICICI LOMBARD/465496766757,Insurance
NSDL TIN 89217436,Tax
IMPS/481063258961/THYROCARE,Health
SUBSCRIPTION AMAZON PRIME,Subscriptions
UPI-DR-458314962400-CHEQUE BOOK CHARGES,Bank Charges
IMPS/781796311631/BAJAJ ALLIANZ GENERAL,Insurance
IMPS-NARAYANA COACHING-51561980,Education
RTGS/067606358424/NOTION PRO,Subscriptions
NACH-MINIMUM BALANCE CHARGE-18484468,Bank Charges
BILLDESK-NESTAWAY-487197,Rent
NEFT-SPOTIFY PREMIUM-18439639,Subscriptions
UPI-DR-468352657466-PPF INTEREST CREDIT,Interest Income
NEFT-BIKANERVALA-22833184,Food & Dining
BILLDESK-HEALTHKART-666114,Health
BILLPAY SPECTRANET,Utilities
IMPS-SPECTRANET-05866271,Utilities
IMPS-DREAM11-65942626,Entertainment
IMPS-PERSONAL LOAN EMI-64113507,Loan EMI
POS PURCHASE MONEYVIEW EMI,Loan EMI
POS 017470 CULT FIT,Health
UPI/SARAVANA BHAVAN,Food & Dining
MANDATE-SPLITWISE SETTLEMENT,Transfer
AUTO DEBIT DELHI PROPERTY TAX,Tax
POS/576069/APARTMENT MAINTENANCE,Rent
UPI/OUT/420380345823/jiobp@kotak/Payment,Fuel
IMPS/851133825833/GOIBIBO,Travel
ECS-GOOGLE ONE,Subscriptions
UPI/DR/245579573077/LATE PAYMENT FEE,Bank Charges
POS PURCHASE ATM HDFC,Cash Withdrawal
NEFT/677094459657/WOW MOMO,Food & Dining
UPI/DR/703488143203/CASH WITHDRAWAL BRANCH,Cash Withdrawal
RTGS/420023769342/GST REFUND,Tax
POS 259903 EASEMYTRIP,Travel
IMPS-UNACADEMY-92917354,Education
MANDATE-METRO CASH AND CARRY,Groceries
MANDATE-TATA NEU PLUS,Subscriptions
MANDATE-EASYDAY,Groceries
POS 148322 NIVA BUPA,Insurance
UPI/DR/159278428034/DU FEES PAYMENT,Education
BILLDESK-NESTAWAY-487197,Rent
ACH DR PANASONIC,Electronics
ECS-MYNTRA,Shopping
RTGS/971613389850/IMPS CHARGES,Bank Charges
POS PURCHASE AMAZON PRIME VIDEO,Entertainment
POS 743357 RELIANCE INDUSTRIES,Income
POS 146034 UDEMY BUSINESS,Subscriptions
POS/560044/MAX HEALTHCARE,Health
LI PREMIUM ACKO INSURANCE,Insurance
MANDATE-ZOMATO PRO,Subscriptions
IMPS/511477991703/CANARA BANK INTEREST,Interest Income
IMPS-AXIS MF-63046527,Investment
ACH DR LULU HYPERMARKET,Groceries
UPI/KOTAK SAVINGS INTEREST,Interest Income
IMPS/573397235768/AXIS MF,Investment
POS/386755/MICROSOFT 365,Subscriptions
POS PURCHASE AMAZON PAY TRANSFER,Transfer
MANDATE-ATM BOB,Cash Withdrawal
UPI/OUT/941724426628/groww@okicici/Payment,Investment
UPI/DR/034103731051/CHENNAI METRO,Transport
NEFT/283564310422/HDFC ERGO,Insurance
NACH-TATA CAPITAL EMI-54737133,Loan EMI
RTGS/980925718257/ICICI PRUDENTIAL MF,Investment
UPI/DR/464335920189/INNERCHEF,Food & Dining
NEFT/188574276490/JBL INDIA,Electronics
AUTO DEBIT XIAOMI,Electronics
IMPS/842289228133/COX AND KINGS,Travel
POS PURCHASE BPCL PUMP,Fuel
UPI/BAJAJ ALLIANZ GENERAL/774748363806,Insurance
ACH DR TSRTC,Transport
UPI/FABINDIA/054978790411,Shopping
ECS-BOUNCE,Transport
UPI-DR-752042440647-ATM KOTAK,Cash Withdrawal
ACH DR NYKAA,Personal Care
AUTO DEBIT LOCKER RENT CHARGES,Bank Charges
UPI PAYMENT BLACKBERRYS,Shopping
UPI/OUT/752904991223/etmoney@okaxis/Payment,Investment
UPI/CLEARTRIP,Travel
UPI PAYMENT HINDUSTAN PETROLEUM,Fuel
UPI/ATM-NFS WITHDRAWAL/824047963239,Cash Withdrawal
UPI/SRM UNIVERSITY,Education
BILLDESK-SOTC TRAVEL-061276,Travel
ACH DR ICICI BANK EMI,Loan EMI
AUTO DEBIT STIPEND CREDIT,Income
NEFT-DELL-82456009,Electronics
ECS-PROPERTY TAX,Tax
IMPS-CASH COUNTER WITHDRAWAL-06073860,Cash Withdrawal
MUTUAL FUND DSP MUTUAL FUND,Investment
NACH-JIOMART-21263299,Groceries
NEFT-OYO ROOMS-00695609,Travel
NEFT/144389233314/ADANI GAS,Utilities
RENT TRANSFER HOUSR,Rent
UPI/UNITED INDIA INSURANCE/938517097902,Insurance
EMI/FULLERTON INDIA EMI/44936481,Loan EMI
NEFT/SELF/40613511,Transfer
UPI/DR/541431410264/MUMBAI METRO,Transport
INCOME TAX 9731241831,Tax
AUTO DEBIT GAANA,Entertainment
POS PURCHASE ECS BOUNCE,Bank Charges
IMPS-CHAAYOS-19796196,Food & Dining
POS PURCHASE MOTOROLA,Electronics
BILLDESK-MICRO ATM WITHDRAWAL-226724,Cash Withdrawal
INSURANCE PREMIUM CARE HEALTH,Insurance
UPI/OUT/871341747682/ibmindia@kotak/Payment,Income
BILLDESK-SPEED FUELS-128384,Fuel
UPI/MCGM PROPERTY TAX,Tax
UPI/OUT/976331358115/hdfclife@kotak/Payment,Insurance
UPI-DR-846760451013-LOTUS HERBALS,Personal Care
POS/762942/MICROSOFT INDIA,Income
IMPS-SBI HOME LOAN EMI-84812661,Loan EMI
NEFT/645384280392/HATHWAY,Utilities
RTGS/955135607043/BSES RAJDHANI,Utilities
BILLDESK-SNAP FITNESS-944645,Health
RENT TRANSFER HOUSE RENT PAYMENT,Rent
UPI/DR/320706941495/KSRTC,Transport
BILLDESK-MPHASIS-091452,Income
POS/027587/STIPEND CREDIT,Income
MANDATE-HOMIGO,Rent
AUTO DEBIT EXTRAMARKS,Education
RTGS/374080962080/VOOT,Entertainment
ACH DR GOOGLE ONE,Subscriptions
RTGS/125019532909/BESCOM,Utilities
RTGS/091299756076/NARAYANA COACHING,Education
AUTO DEBIT UDEMY BUSINESS,Subscriptions
UPI/DR/091022292716/TATA MUTUAL FUND,Investment
UPI PAYMENT PHONEPE TRANSFER,Transfer
CASH WITHDRAWAL 76346372,Cash Withdrawal
UPI PAYMENT ADITYA BIRLA HEALTH,Insurance
UPI-DR-257064679050-SHELL INDIA,Fuel
POS 250705 BLUSMART,Transport
UPI/DR/878218841093/RAPIDO,Transport
IMPS-YES BANK EMI-83889337,Loan EMI
UPI/DR/515496320356/CONSULTING FEES,Income
AUTO DEBIT MARKS AND SPENCER,Shopping
NEFT-NOBROKER-23711281,Rent
AUTO DEBIT CUEMATH,Education
NACH-NON MAINTENANCE CHARGE-73049724,Bank Charges
POS/731349/CASH WITHDRAWAL BRANCH,Cash Withdrawal
IMPS-PRACTO-21768470,Health
BILLDESK-CASH COUNTER WITHDRAWAL-844159,Cash Withdrawal
UPI/OUT/428807785145/mahanaga@ybl/Payment,Utilities
ECS-ROLLS MANIA,Food & Dining
IMPS/161383252432/ATM BOB,Cash Withdrawal
IMPS-ICICI BANK SAVINGS INTEREST-75881148,Interest Income
POS PURCHASE LAKME SALON,Personal Care
ACH DR TIMES PRIME,Subscriptions
POS/824334/NESTAWAY,Rent
ECS-MONEYVIEW EMI,Loan EMI
ACH DR ATM-NFS WITHDRAWAL,Cash Withdrawal
BILLDESK-ATM SBI-234728,Cash Withdrawal
POS PURCHASE IMPS CHARGES,Bank Charges
IMPS-YULU BIKES-62223250,Transport
IMPS-TATA AIA LIFE-99736278,Insurance
UPI-P2A-430182525319-KAYA SKIN CLINIC,Personal Care
AUTO DEBIT TATA AIA LIFE,Insurance
UPI/NETMEDS/982119483365,Health
MANDATE-REDBUS,Travel
POLICY PREMIUM TATA AIA LIFE,Insurance
UPI/DIGIT INSURANCE/132076367298,Insurance
ACH DR SUN DIRECT,Utilities
NEFT-TCS LTD-77972663,Income
POS PURCHASE NILGIRIS,Groceries
DEMAT ICICI PRUDENTIAL MF,Investment
BILLDESK-TATA CLIQ-378518,Shopping
UPI PAYMENT PANASONIC,Electronics
MANDATE-ICICI PRUDENTIAL LIFE,Insurance
POS 269650 LAZYPAY EMI,Loan EMI
NACH-OLA CABS-38547141,Transport
POS/782787/SONY LIV,Entertainment
MANDATE-PROPERTY TAX,Tax
UPI/DR/271644067442/REBEL FOODS,Food & Dining
NEFT/587575941982/MCAFFEINE,Personal Care
UPI/OUT/998598684104/nike@apl/Payment,Shopping
BILLDESK-AAKASH INSTITUTE-031508,Education
UPI-P2A-368148562092-WHIRLPOOL,Electronics
SIP DEBIT COIN BY ZERODHA,Investment
RTGS/274317983383/HOMIGO,Rent
BILLDESK-POST OFFICE INTEREST-423850,Interest Income
MANDATE-INDUSIND BANK EMI,Loan EMI
NEFT/132382091972/SUN DIRECT,Utilities
NACH-TREEBO-57282606,Travel
IMPS-TWO WHEELER LOAN-54412676,Loan EMI
POS/757312/FLIPKART,Shopping
UPI/OUT/783370590198/accountt@oksbi/Payment,Transfer
BILLDESK-BIOTIQUE-259972,Personal Care
BILLDESK-ICLOUD STORAGE-018597,Subscriptions
IMPS/016523294284/MAHANAGAR GAS,Utilities
UPI/DR/305467898506/CAR LOAN EMI,Loan EMI
UPI-DR-016115335076-DMART,Groceries
POS PURCHASE SPOTIFY PREMIUM,Subscriptions
UPI PAYMENT RESONANCE,Education
POS/740557/HCL TECHNOLOGIES,Income
UPI-P2A-570281541832-LOUIS PHILIPPE,Shopping
UPI-P2A-972487636306-JIO FIBER,Utilities
UPI/DR/956956865302/UDEMY,Education
POS/121208/BOOKMYSHOW,Entertainment
UPI/SBI MUTUAL FUND,Investment
SIP DEBIT ICICI PRUDENTIAL MF,Investment
POS 288843 PNB METLIFE,Insurance
ECS-SHELL INDIA,Fuel
UPI-DR-095493667804-PAYTM MONEY,Investment
UPI/HOUSR,Rent
POS 808901 TONI AND GUY,Personal Care
UPI/OUT/537454309592/burgerki@apl/Payment,Food & Dining
ACH DR HIMALAYA DRUG,Personal Care
POS 247755 KAYA SKIN CLINIC,Personal Care
IMPS/294307221904/HP PETROL PUMP,Fuel
UPI-P2A-301181982569-HEALTHKART,Health
ECS-STIPEND CREDIT,Income
UPI/OUT/781367382740/iocloutl@ibl/Payment,Fuel
IMPS/039866568373/GST REFUND,Tax
POS PURCHASE UNIQLO,Shopping
UPI-P2A-812217148927-QUICKRIDE,Transport
POS/358490/NANDOS,Food & Dining
UPI/SMALLCASE/512382095502,Investment
ACH DR HDFC BANK FD INTEREST,Interest Income
NEFT-AIR INDIA-52818065,Travel
POS 125166 AXIS BANK EMI,Loan EMI
IMPS-SELF TRANSFER-59014635,Transfer
UPI/DR/985135776002/NAYARA ENERGY,Fuel
NACH-FUND TRANSFER-00092490,Transfer
POS PURCHASE ONEPLUS,Electronics
ECS-SBI MUTUAL FUND,Investment
ECS-BANSAL CLASSES,Education
UPI-DR-193234859494-STAR HEALTH,Insurance
UPI-P2A-598825652614-FI TRANSFER,Transfer
POS/822951/WOODLAND,Shopping
NACH-WESTSIDE-04362004,Shopping
UPI-DR-847401787963-LULU HYPERMARKET,Groceries
IMPS-DEBIT CARD ANNUAL FEE-99518548,Bank Charges
IMPS/749534426983/PAPA JOHNS,Food & Dining
BILLDESK-GOLD GYM-940905,Health
UPI PAYMENT ATM ICICI,Cash Withdrawal
TANGEDCO ONLINE BILL PAYMENT,Utilities
MANDATE-METROPOLIS HEALTHCARE,Health
UPI/OUT/986295080649/sundirec@axl/Payment,Utilities
UPI/DR/534013317850/VAN HEUSEN,Shopping
NEFT/370005906447/HYDERABAD METRO,Transport
IMPS-BIBA-11351030,Shopping
POS PURCHASE BOB INTEREST CREDIT,Interest Income
MANDATE-CESC,Utilities
ECS-RELIANCE PETROL,Fuel
RTGS/837171814656/AXIS BANK FD INTEREST,Interest Income
RTGS/024506378210/ECS BOUNCE,Bank Charges
UPI-DR-725205344342-SWIGGY INSTAMART,Food & Dining
UPI PAYMENT APOLLO HOSPITALS,Health
NEFT-MUMBAI METRO-23733480,Transport
